url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#81 (tied) – Best Global Universities,"Spain
Barcelona",University of Barcelona,70.1,#30Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,69.7,#32
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#324 (tied) – Best Global Universities,"Sweden
Uppsala",Swedish University of Agricultural Sciences,69.6,#33
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#204 (tied) – Best Global Universities,"United States
Ames, IA",Iowa State University,69.0,#34Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#103  – Best Global Universities,"United States
West Lafayette, IN",Purdue University--West Lafayette,69.0,#34Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#97 (tied) – Best Global Universities,"United States
Piscataway Township, NJ","Rutgers, The State University of New Jersey--New Brunswick",68.8,#36
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#301 (tied) – Best Global Universities,"United Kingdom
Reading, Berkshire",University of Reading,68.7,#37Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#260 (tied) – Best Global Universities,"Spain
Valencia",University of Valencia,68.7,#37Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#356  – Best Global Universities,"United States
Pullman, WA",Washington State University,68.4,#39
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=4,#479 (tied) – Best Global Universities,"France
Paris",AgroParisTech,68.0,#40
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#80  – Best Global Universities,"Germany
Munich",Technical University of Munich,67.8,#41Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#34 (tied) – Best Global Universities,"Australia
Sydney, New South Wales",University of Sydney,67.8,#41Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#239 (tied) – Best Global Universities,"United States
Corvallis, OR",Oregon State University,67.5,#43Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#272  – Best Global Universities,"United States
Lincoln, NE",University of Nebraska--Lincoln,67.5,#43Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#503 (tied) – Best Global Universities,"Spain
Valencia",Polytechnic University of Valencia,67.4,#45
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#222 (tied) – Best Global Universities,"United States
Raleigh, NC",North Carolina State University--Raleigh,67.2,#46Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#138 (tied) – Best Global Universities,"Italy
Bologna",University of Bologna,67.2,#46Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#977 (tied) – Best Global Universities,"China
Nanchang, Jiangxi",Nanchang University,65.2,#48
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#265 (tied) – Best Global Universities,"United States
Athens, GA",University of Georgia,64.9,#49
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=5,#548 (tied) – Best Global Universities,"Austria
Wien",University of Bodenkultur Wien,64.8,#50
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#257 (tied) – Best Global Universities,"Ireland
Dublin 4",University College Dublin,64.6,#51
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#123  – Best Global Universities,"South Korea
Seoul",Seoul National University,64.5,#52
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#638 (tied) – Best Global Universities,"Malaysia
Serdang, Selangor",Universiti Putra Malaysia,64.4,#53
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#119  – Best Global Universities,"Denmark
Kongens Lyngby",Technical University of Denmark,64.1,#54Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#50  – Best Global Universities,"United States
College Park, MD",University of Maryland--College Park,64.1,#54Tie
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#122  – Best Global Universities,"Australia
Adelaide, South Australia",University of Adelaide,64.0,#56
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#450 (tied) – Best Global Universities,"Ireland
Cork",University College Cork,63.9,#57
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#104 (tied) – Best Global Universities,"Germany
Bonn",University of Bonn,63.6,#58
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#377 (tied) – Best Global Universities,"United States
Manhattan, KS",Kansas State University,63.4,#59
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=6,#81 (tied) – Best Global Universities,"Finland
Helsinki",University of Helsinki,62.6,#60
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#316 (tied) – Best Global Universities,"Spain
Granada, Granada",University of Granada,62.3,#61
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#250 (tied) – Best Global Universities,"United States
Fort Collins, CO",Colorado State University,61.7,#62
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#142  – Best Global Universities,"Germany
Göttingen",University of Göttingen,61.5,#63
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#914 (tied) – Best Global Universities,"Spain
Lleida",Universitat de Lleida,61.2,#64
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#477 (tied) – Best Global Universities,"New Zealand
Palmerston North",Massey University,61.0,#65
https://www.usnews.com//education/best-global-universities/agricultural-sciences?page=7,#85 (tied) – Best Global Universities,"Sweden
Lund",Lund University,60.9,#66
