url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,100.0,#1
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,97.7,#2
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,95.6,#3
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#10 (tied) – Best Global Universities,"United States
New Haven, CT",Yale University,87.8,#4
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#22  – Best Global Universities,"United Kingdom
London",University College London,85.7,#5
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#20  – Best Global Universities,"Canada
Toronto, Ontario",University of Toronto,84.1,#6
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#28 (tied) – Best Global Universities,"United States
New York, NY",New York University,83.7,#7
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,83.2,#8
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,82.1,#9
https://www.usnews.com//education/best-global-universities/arts-and-humanities,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,81.8,#10
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,74.4,#21
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,72.4,#22
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#69 (tied) – Best Global Universities,"Australia
Canberra, Australian Capital Territory",Australian National University,72.1,#23
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#26  – Best Global Universities,"Australia
Parkville, Victoria",University of Melbourne,71.8,#24
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#41  – Best Global Universities,"United Kingdom
London",King's College London,70.7,#25
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#51  – Best Global Universities,"United States
Champaign, IL",University of Illinois--Urbana-Champaign,70.6,#26
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#109  – Best Global Universities,"Hong Kong
Pok Fu Lam, Hong Kong",University of Hong Kong,70.3,#27
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,70.0,#28
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#97 (tied) – Best Global Universities,"United States
Piscataway Township, NJ","Rutgers, The State University of New Jersey--New Brunswick",69.2,#29
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=3,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,69.0,#30
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#49  – Best Global Universities,"Canada
Montréal, Québec",McGill University,68.9,#31
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#27  – Best Global Universities,"Canada
Vancouver, British Columbia",University of British Columbia,68.7,#32
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#46  – Best Global Universities,"United States
Columbus, OH",Ohio State University--Columbus,68.4,#33
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#23  – Best Global Universities,"United States
Ithaca, NY",Cornell University,67.1,#34
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#40  – Best Global Universities,"Germany
Munich",University of Munich,66.5,#35
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#24  – Best Global Universities,"United States
Evanston, IL",Northwestern University,66.2,#36
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#77 (tied) – Best Global Universities,"United States
Tucson, AZ",University of Arizona,65.7,#37Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#48  – Best Global Universities,"United States
Pittsburgh, PA",University of Pittsburgh,65.7,#37Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#57 (tied) – Best Global Universities,"Netherlands
Utrecht",Utrecht University,65.7,#37Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=4,#63  – Best Global Universities,"Belgium
Leuven",Catholic University of Leuven,65.5,#40
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#148 (tied) – Best Global Universities,"United Kingdom
Coventry",University of Warwick,65.1,#41
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#88 (tied) – Best Global Universities,"Belgium
Gent",Ghent University,65.0,#42
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#81 (tied) – Best Global Universities,"Finland
Helsinki",University of Helsinki,63.9,#43
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#129 (tied) – Best Global Universities,"United States
Bloomington, IN",Indiana University--Bloomington,63.8,#44
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#50  – Best Global Universities,"United States
College Park, MD",University of Maryland--College Park,63.4,#45
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#21  – Best Global Universities,"United States
Durham, NC",Duke University,63.1,#46
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#173 (tied) – Best Global Universities,"United Kingdom
Durham, Durham",Durham University,62.7,#47
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#250 (tied) – Best Global Universities,"United Kingdom
Lancaster",Lancaster University,62.5,#48
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#134 (tied) – Best Global Universities,"United Kingdom
Leeds",University of Leeds,62.4,#49
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=5,#87  – Best Global Universities,"Germany
Berlin",Humboldt-Universität zu Berlin,62.2,#50
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#143 (tied) – Best Global Universities,"United Kingdom
Nottingham",University of Nottingham,61.9,#51
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#244 (tied) – Best Global Universities,"United Kingdom
London",London School of Economics and Political Science,61.8,#52
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#79  – Best Global Universities,"Netherlands
Leiden",Leiden University,61.6,#53
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#234 (tied) – Best Global Universities,"Australia
North Ryde, New South Wales",Macquarie University,61.5,#54
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#45  – Best Global Universities,"Australia
Brisbane, Queensland",University of Queensland Australia,61.2,#55
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#94  – Best Global Universities,"Netherlands
Groningen",University of Groningen,61.1,#56
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#102  – Best Global Universities,"United Kingdom
Glasgow, Scotland",University of Glasgow,60.9,#57
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#112  – Best Global Universities,"Germany
Berlin",Freie Universität Berlin,60.8,#58
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#34 (tied) – Best Global Universities,"United States
Chapel Hill, NC",University of North Carolina--Chapel Hill,60.3,#59
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=6,#279 (tied) – Best Global Universities,"United States
Washington, DC",Georgetown University,60.0,#60
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#10 (tied) – Best Global Universities,"United States
Baltimore, MD",Johns Hopkins University,57.6,#71Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#143 (tied) – Best Global Universities,"United Kingdom
Sheffield",University of Sheffield,57.6,#71Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#43  – Best Global Universities,Singapore,National University of Singapore,57.4,#73
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#187 (tied) – Best Global Universities,"Austria
Vienna",University of Vienna,57.2,#74
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#28 (tied) – Best Global Universities,"United States
Santa Barbara, CA",University of California--Santa Barbara,57.1,#75
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#163  – Best Global Universities,"United Kingdom
Exeter, Devon",University of Exeter,56.8,#76
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#37  – Best Global Universities,"Denmark
Copenhagen",University of Copenhagen,56.7,#77
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#81 (tied) – Best Global Universities,"United States
East Lansing, MI",Michigan State University,55.9,#78
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#129 (tied) – Best Global Universities,"Sweden
Stockholm",Stockholm University,55.5,#79
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=8,#181 (tied) – Best Global Universities,"United States
Notre Dame, IN",University of Notre Dame,55.3,#80
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#73 (tied) – Best Global Universities,"United Kingdom
Bristol",University of Bristol,54.9,#81
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#246  – Best Global Universities,"United Kingdom
Fife, Scotland",University of St. Andrews,54.4,#82
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#173 (tied) – Best Global Universities,"Israel
Tel Aviv",Tel Aviv University,54.3,#83
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#155  – Best Global Universities,"Germany
Tübingen","Eberhard Karls University, Tübingen",54.2,#84
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#92  – Best Global Universities,"United States
Providence, RI",Brown University,53.7,#85Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#104 (tied) – Best Global Universities,"Norway
Oslo",University of Oslo,53.7,#85Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#138 (tied) – Best Global Universities,"New Zealand
Auckland",University of Auckland,53.5,#87
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#95 (tied) – Best Global Universities,"Denmark
Aarhus C",Aarhus University,53.4,#88
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#313  – Best Global Universities,"United States
Storrs, CT",University of Connecticut,53.2,#89
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=9,#77 (tied) – Best Global Universities,"United States
Pittsburgh, PA",Carnegie Mellon University,52.9,#90
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#301 (tied) – Best Global Universities,"United Kingdom
Reading, Berkshire",University of Reading,48.7,#101
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#103  – Best Global Universities,"United States
West Lafayette, IN",Purdue University--West Lafayette,48.2,#102
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#81 (tied) – Best Global Universities,"Spain
Barcelona",University of Barcelona,48.1,#103
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#457 (tied) – Best Global Universities,"New Zealand
Wellington",Victoria University of Wellington,47.7,#104
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#176 (tied) – Best Global Universities,"Spain
Barcelona",Pompeu Fabra University,47.2,#105
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#97 (tied) – Best Global Universities,"United Kingdom
Southampton",University of Southampton,46.6,#106
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#85 (tied) – Best Global Universities,"Netherlands
Amsterdam",VU University Amsterdam,45.9,#107
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#47  – Best Global Universities,"United States
Santa Cruz, CA",University of California--Santa Cruz,45.5,#108
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#134 (tied) – Best Global Universities,"Germany
Hamburg",University of Hamburg,45.0,#109
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=11,#466 (tied) – Best Global Universities,"United States
Atlanta, GA",Georgia State University,44.9,#110
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#134 (tied) – Best Global Universities,"Canada
Edmonton, Alberta",University of Alberta,44.8,#111Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#138 (tied) – Best Global Universities,"Italy
Bologna",University of Bologna,44.8,#111Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#363 (tied) – Best Global Universities,"Australia
Penrith, NSW",University of Western Sydney,44.7,#113
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#52 (tied) – Best Global Universities,"United States
Davis, CA",University of California--Davis,44.0,#114
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#88 (tied) – Best Global Universities,"Switzerland
Geneva",University of Geneva,43.8,#115
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#395 (tied) – Best Global Universities,"Canada
Toronto, Ontario",York University,43.6,#116
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#71 (tied) – Best Global Universities,"United States
Atlanta, GA",Emory University,43.5,#117
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#210 (tied) – Best Global Universities,"United Kingdom
Brighton",University of Sussex,43.4,#118
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#159 (tied) – Best Global Universities,"United Kingdom
Cardiff, Wales",Cardiff University,43.3,#119Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=12,#190 (tied) – Best Global Universities,"United States
Tallahassee, FL",Florida State University,43.3,#119Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#148 (tied) – Best Global Universities,"Germany
Freiburg",University of Freiburg,43.3,#119Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#99  – Best Global Universities,"Sweden
Uppsala",Uppsala University,43.0,#122
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#44  – Best Global Universities,"United States
Boulder, CO",University of Colorado--Boulder,42.6,#123
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#176 (tied) – Best Global Universities,"Germany
Frankfurt am Main",Johann Wolfgang Goethe University Frankfurt am Main,42.5,#124
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#153 (tied) – Best Global Universities,"United States
Iowa City, IA",University of Iowa,42.3,#125Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#217 (tied) – Best Global Universities,"Portugal
Lisbon",University of Lisbon,42.3,#125Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#471 (tied) – Best Global Universities,"Australia
Melbourne, VIC",La Trobe University,42.2,#127
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#164 (tied) – Best Global Universities,"Spain
Barcelona",Autonomous University of Barcelona,42.0,#128Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#142  – Best Global Universities,"Germany
Göttingen",University of Göttingen,42.0,#128Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=13,#1029 (tied) – Best Global Universities,"United Kingdom
London",University of London School Oriental,42.0,#128Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#198 (tied) – Best Global Universities,"United States
Chicago, IL",University of Illinois--Chicago,40.9,#131
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#187 (tied) – Best Global Universities,"United Kingdom
Newcastle upon Tyne, Tyne and Wear",Newcastle University,40.8,#132
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#116 (tied) – Best Global Universities,"United Kingdom
London","Queen Mary, University of London",40.6,#133
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#215  – Best Global Universities,"Belgium
Antwerp",University of Antwerp,40.5,#134
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#95 (tied) – Best Global Universities,"United States
Gainesville, FL",University of Florida,40.3,#135
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#267 (tied) – Best Global Universities,"United States
Eugene, OR",University of Oregon,40.2,#136
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#247 (tied) – Best Global Universities,"United States
Buffalo, NY",University at Buffalo--SUNY,40.0,#137
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#232  – Best Global Universities,"United Kingdom
Leicester",University of Leicester,39.9,#138
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#645 (tied) – Best Global Universities,"Canada
Montréal, Québec",Concordia University,39.7,#139
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=14,#67  – Best Global Universities,"United States
Nashville, TN",Vanderbilt University,39.6,#140
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#129 (tied) – Best Global Universities,"United Kingdom
Liverpool",University of Liverpool,39.2,#141
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#124 (tied) – Best Global Universities,"Italy
Rome",Sapienza University of Rome,39.0,#142
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#594 (tied) – Best Global Universities,"United Kingdom
Canterbury, Kent",University of Kent,38.9,#143
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#429 (tied) – Best Global Universities,"Germany
Potsdam",University of Potsdam,38.8,#144
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#249  – Best Global Universities,"United States
Lawrence, KS",University of Kansas,38.7,#145
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#227  – Best Global Universities,"Ireland
Dublin 2",Trinity College Dublin,38.5,#146Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#176 (tied) – Best Global Universities,"Sweden
Gothenburg",University of Gothenburg,38.5,#146Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#405 (tied) – Best Global Universities,"Spain
Leioa, Bizkaia",University of the Basque Country,38.4,#148
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#698 (tied) – Best Global Universities,"Israel
Haifa",University of Haifa,38.3,#149
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=15,#239 (tied) – Best Global Universities,"France
Paris","École Normale Superieure, Paris",37.9,#150
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#113  – Best Global Universities,"South Africa
Cape Town",University of Cape Town,37.6,#151
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#1010 (tied) – Best Global Universities,"France
Paris",University of Pantheon Sorbonne - Paris I,37.5,#152
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#267 (tied) – Best Global Universities,"Canada
London, Ontario",Western University,37.2,#153
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#643 (tied) – Best Global Universities,"United Kingdom
London",Birkbeck University London,37.0,#154
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#243  – Best Global Universities,"Germany
Köln",University of Cologne,36.4,#155Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#88 (tied) – Best Global Universities,"Australia
Crawley, Western Australia",University of Western Australia,36.4,#155Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#265 (tied) – Best Global Universities,"Australia
Nathan, Queensland",Griffith University,36.3,#157
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#597 (tied) – Best Global Universities,"United Kingdom
Colchester, Essex",University of Essex,36.1,#158
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#559 (tied) – Best Global Universities,"Israel
Ramat Gan",Bar-Ilan University,35.6,#159
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=16,#338 (tied) – Best Global Universities,"Spain
Madrid",Complutense University of Madrid,35.3,#160Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#217 (tied) – Best Global Universities,"New Zealand
Dunedin",University of Otago,35.3,#160Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#601 (tied) – Best Global Universities,"United Kingdom
Milton Keynes, Buckinghamshire",Open University,35.2,#162
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#81 (tied) – Best Global Universities,"United States
Houston, TX",Rice University,34.9,#163Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#267 (tied) – Best Global Universities,"United Kingdom
Norwich",University of East Anglia,34.9,#163Tie
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#239 (tied) – Best Global Universities,"United Kingdom
Aberdeen, Scotland",University of Aberdeen,34.6,#165
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#421  – Best Global Universities,"United States
Chestnut Hill, MA",Boston College,34.2,#166
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#100  – Best Global Universities,"France
Paris",University Paris Diderot - Paris 7,34.0,#167
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#196 (tied) – Best Global Universities,"Czech Republic
Prague 1",Charles University in Prague,33.9,#168
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#208 (tied) – Best Global Universities,"Canada
Ottawa, Ontario",University of Ottawa,33.6,#169
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=17,#32 (tied) – Best Global Universities,"United States
St. Louis, MO",Washington University in St. Louis,33.4,#170
https://www.usnews.com//education/best-global-universities/arts-and-humanities?page=18,#282 (tied) – Best Global Universities,"Canada
Burnaby, British Columbia",Simon Fraser University,33.3,#171
