url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/computer-science,#64  – Best Global Universities,"China
Beijing",Tsinghua University,100.0,#1
https://www.usnews.com//education/best-global-universities/computer-science,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,99.3,#2
https://www.usnews.com//education/best-global-universities/computer-science,#55 (tied) – Best Global Universities,Singapore,Nanyang Technological University,97.0,#3
https://www.usnews.com//education/best-global-universities/computer-science,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,96.4,#4
https://www.usnews.com//education/best-global-universities/computer-science,#43  – Best Global Universities,Singapore,National University of Singapore,92.8,#5
https://www.usnews.com//education/best-global-universities/computer-science,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,91.3,#6
https://www.usnews.com//education/best-global-universities/computer-science,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,90.7,#7
https://www.usnews.com//education/best-global-universities/computer-science,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,86.9,#8
https://www.usnews.com//education/best-global-universities/computer-science,#282 (tied) – Best Global Universities,"China
Wuhan, Hubei",Huazhong University of Science and Technology,85.5,#9
https://www.usnews.com//education/best-global-universities/computer-science,#159 (tied) – Best Global Universities,"China
Hangzhou, Zhejiang",Zhejiang University,84.1,#10
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#25  – Best Global Universities,"Switzerland
Zurich",Swiss Federal Institute of Technology Zurich,82.8,#11
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#186  – Best Global Universities,"Hong Kong
Kowloon, Hong Kong",City University Hong Kong,82.7,#12
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#110  – Best Global Universities,"Saudi Arabia
Jeddah",King Abdulaziz University,82.0,#13
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#27  – Best Global Universities,"Canada
Vancouver, British Columbia",University of British Columbia,81.9,#14
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#230  – Best Global Universities,"Canada
Waterloo, Ontario",University of Waterloo,81.3,#15
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#71 (tied) – Best Global Universities,"United States
Atlanta, GA",Georgia Institute of Technology,81.2,#16
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#156 (tied) – Best Global Universities,"China
Shanghai",Shanghai Jiao Tong University,81.0,#17
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#62  – Best Global Universities,"United States
Los Angeles, CA",University of Southern California,80.8,#18
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,80.4,#19
https://www.usnews.com//education/best-global-universities/computer-science?page=2,#382 (tied) – Best Global Universities,"China
Nanjing, Jiangsu",Southeast University,80.3,#20
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#152  – Best Global Universities,Hong Kong,Hong Kong University of Science and Technology,79.6,#21
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#77 (tied) – Best Global Universities,"United States
Pittsburgh, PA",Carnegie Mellon University,78.2,#22
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#22  – Best Global Universities,"United Kingdom
London",University College London,77.8,#23
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,77.1,#24
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#20  – Best Global Universities,"Canada
Toronto, Ontario",University of Toronto,76.3,#25
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#65  – Best Global Universities,"China
Beijing",Peking University,76.0,#26
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,75.3,#27
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#849 (tied) – Best Global Universities,"China
Beijing",Beijing University of Posts,75.0,#28
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#36  – Best Global Universities,"Switzerland
Lausanne",École Polytechnique Federale of Lausanne,74.1,#29
https://www.usnews.com//education/best-global-universities/computer-science?page=3,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,73.8,#30
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#148 (tied) – Best Global Universities,"Hong Kong
Shatin, New Territories",Chinese University Hong Kong,73.5,#31
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#26  – Best Global Universities,"Australia
Parkville, Victoria",University of Melbourne,73.1,#32
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#304 (tied) – Best Global Universities,"China
Harbin, Heilongjiang",Harbin Institute of Technology,72.5,#33
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,72.1,#34
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#204 (tied) – Best Global Universities,"Sweden
Stockholm",Royal Institute of Technology,72.0,#35
https://www.usnews.com//education/best-global-universities/computer-science?page=4,#69 (tied) – Best Global Universities,"Australia
Canberra, Australian Capital Territory",Australian National University,71.9,#36
