url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/economics-business,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,100.0,#1
https://www.usnews.com//education/best-global-universities/economics-business,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,93.6,#2
https://www.usnews.com//education/best-global-universities/economics-business,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,85.6,#3
https://www.usnews.com//education/best-global-universities/economics-business,#19  – Best Global Universities,"United States
Philadelphia, PA",University of Pennsylvania,84.7,#4
https://www.usnews.com//education/best-global-universities/economics-business,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,84.6,#5Tie
https://www.usnews.com//education/best-global-universities/economics-business,#14  – Best Global Universities,"United States
Chicago, IL",University of Chicago,84.6,#5Tie
https://www.usnews.com//education/best-global-universities/economics-business,#28 (tied) – Best Global Universities,"United States
New York, NY",New York University,82.1,#7
https://www.usnews.com//education/best-global-universities/economics-business,#8  – Best Global Universities,"United States
New York, NY",Columbia University,81.6,#8
https://www.usnews.com//education/best-global-universities/economics-business,#244 (tied) – Best Global Universities,"United Kingdom
London",London School of Economics and Political Science,80.2,#9
https://www.usnews.com//education/best-global-universities/economics-business,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,75.2,#10
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#10 (tied) – Best Global Universities,"United States
New Haven, CT",Yale University,75.0,#11
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,74.8,#12
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#24  – Best Global Universities,"United States
Evanston, IL",Northwestern University,74.1,#13
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#73 (tied) – Best Global Universities,"Netherlands
Rotterdam",Erasmus University Rotterdam,72.7,#14
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,71.1,#15
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#21  – Best Global Universities,"United States
Durham, NC",Duke University,69.4,#16
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#20  – Best Global Universities,"Canada
Toronto, Ontario",University of Toronto,67.4,#17
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#491 (tied) – Best Global Universities,"Netherlands
Tilburg",Tilburg University,67.1,#18
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#462 (tied) – Best Global Universities,"United Kingdom
London",London Business School,66.6,#19
https://www.usnews.com//education/best-global-universities/economics-business?page=2,#23  – Best Global Universities,"United States
Ithaca, NY",Cornell University,66.5,#20
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,66.0,#21
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,65.0,#22
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#42  – Best Global Universities,"United States
Minneapolis, MN",University of Minnesota--Twin Cities,64.0,#23
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#134 (tied) – Best Global Universities,"United States
Tempe, AZ",Arizona State University--Tempe,63.1,#24
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#43  – Best Global Universities,Singapore,National University of Singapore,62.7,#25
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#81 (tied) – Best Global Universities,"United States
East Lansing, MI",Michigan State University,62.3,#26
https://www.usnews.com//education/best-global-universities/economics-business?page=3,"Italy
Milano","Italy
Milano",Bocconi University,62.2,#27
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#148 (tied) – Best Global Universities,"United Kingdom
Coventry",University of Warwick,61.5,#28
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,60.5,#29
https://www.usnews.com//education/best-global-universities/economics-business?page=3,#50  – Best Global Universities,"United States
College Park, MD",University of Maryland--College Park,59.4,#30
https://www.usnews.com//education/best-global-universities/economics-business?page=4,"Denmark
Frederiksberg","Denmark
Frederiksberg",Copenhagen Business School,59.3,#31Tie
https://www.usnews.com//education/best-global-universities/economics-business?page=4,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,59.3,#31Tie
https://www.usnews.com//education/best-global-universities/economics-business?page=4,#129 (tied) – Best Global Universities,"United States
Bloomington, IN",Indiana University--Bloomington,59.1,#33
https://www.usnews.com//education/best-global-universities/economics-business?page=4,#22  – Best Global Universities,"United Kingdom
London",University College London,58.2,#34
https://www.usnews.com//education/best-global-universities/economics-business?page=4,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,57.9,#35
https://www.usnews.com//education/best-global-universities/economics-business?page=4,#46  – Best Global Universities,"United States
Columbus, OH",Ohio State University--Columbus,57.3,#36
