url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/engineering,#64  – Best Global Universities,"China
Beijing",Tsinghua University,100.0,#1
https://www.usnews.com//education/best-global-universities/engineering,#43  – Best Global Universities,Singapore,National University of Singapore,94.5,#2
https://www.usnews.com//education/best-global-universities/engineering,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,93.2,#3
https://www.usnews.com//education/best-global-universities/engineering,#55 (tied) – Best Global Universities,Singapore,Nanyang Technological University,93.0,#4
https://www.usnews.com//education/best-global-universities/engineering,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,92.3,#5
https://www.usnews.com//education/best-global-universities/engineering,#304 (tied) – Best Global Universities,"China
Harbin, Heilongjiang",Harbin Institute of Technology,91.2,#6
https://www.usnews.com//education/best-global-universities/engineering,#159 (tied) – Best Global Universities,"China
Hangzhou, Zhejiang",Zhejiang University,89.8,#7
https://www.usnews.com//education/best-global-universities/engineering,#290 (tied) – Best Global Universities,"Denmark
Aalborg",Aalborg University,89.7,#8
https://www.usnews.com//education/best-global-universities/engineering,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,87.7,#9
https://www.usnews.com//education/best-global-universities/engineering,#301 (tied) – Best Global Universities,"Malaysia
Kuala Lumpur, Kuala Lumpur",University of Malaya,86.3,#10
https://www.usnews.com//education/best-global-universities/engineering?page=2,#156 (tied) – Best Global Universities,"China
Shanghai",Shanghai Jiao Tong University,86.2,#11
https://www.usnews.com//education/best-global-universities/engineering?page=2,#25  – Best Global Universities,"Switzerland
Zurich",Swiss Federal Institute of Technology Zurich,86.1,#12
https://www.usnews.com//education/best-global-universities/engineering?page=2,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,85.5,#13
https://www.usnews.com//education/best-global-universities/engineering?page=2,#71 (tied) – Best Global Universities,"United States
Atlanta, GA",Georgia Institute of Technology,85.3,#14
https://www.usnews.com//education/best-global-universities/engineering?page=2,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,85.2,#15
https://www.usnews.com//education/best-global-universities/engineering?page=2,#186  – Best Global Universities,"Hong Kong
Kowloon, Hong Kong",City University Hong Kong,84.9,#16
https://www.usnews.com//education/best-global-universities/engineering?page=2,#234 (tied) – Best Global Universities,"Hong Kong
Kowloon, Hong Kong",Hong Kong Polytechnic University,84.7,#17
https://www.usnews.com//education/best-global-universities/engineering?page=2,#36  – Best Global Universities,"Switzerland
Lausanne",École Polytechnique Federale of Lausanne,83.9,#18
https://www.usnews.com//education/best-global-universities/engineering?page=2,#51  – Best Global Universities,"United States
Champaign, IL",University of Illinois--Urbana-Champaign,83.6,#19
https://www.usnews.com//education/best-global-universities/engineering?page=2,#164 (tied) – Best Global Universities,"Netherlands
Delft",Delft University of Technology,83.1,#20
https://www.usnews.com//education/best-global-universities/engineering?page=3,#282 (tied) – Best Global Universities,"China
Wuhan, Hubei",Huazhong University of Science and Technology,82.5,#21
https://www.usnews.com//education/best-global-universities/engineering?page=3,#110  – Best Global Universities,"Saudi Arabia
Jeddah",King Abdulaziz University,81.9,#22
https://www.usnews.com//education/best-global-universities/engineering?page=3,#65  – Best Global Universities,"China
Beijing",Peking University,81.4,#23
https://www.usnews.com//education/best-global-universities/engineering?page=3,#119  – Best Global Universities,"Denmark
Kongens Lyngby",Technical University of Denmark,81.2,#24
https://www.usnews.com//education/best-global-universities/engineering?page=3,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,81.1,#25Tie
https://www.usnews.com//education/best-global-universities/engineering?page=3,#69 (tied) – Best Global Universities,"Australia
Kensington, New South Wales",University of New South Wales,81.1,#25Tie
https://www.usnews.com//education/best-global-universities/engineering?page=3,#382 (tied) – Best Global Universities,"China
Nanjing, Jiangsu",Southeast University,80.4,#27
https://www.usnews.com//education/best-global-universities/engineering?page=3,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,80.3,#28
https://www.usnews.com//education/best-global-universities/engineering?page=3,#152  – Best Global Universities,Hong Kong,Hong Kong University of Science and Technology,80.0,#29
https://www.usnews.com//education/best-global-universities/engineering?page=3,#109  – Best Global Universities,"Hong Kong
Pok Fu Lam, Hong Kong",University of Hong Kong,79.8,#30
https://www.usnews.com//education/best-global-universities/engineering?page=4,#327  – Best Global Universities,"China
Shanghai",Tongji University,79.5,#31Tie
https://www.usnews.com//education/best-global-universities/engineering?page=4,#145  – Best Global Universities,"China
Hefei, Anhui",University of Science and Technology of China,79.5,#31Tie
https://www.usnews.com//education/best-global-universities/engineering?page=4,#63  – Best Global Universities,"Belgium
Leuven",Catholic University of Leuven,79.4,#33
https://www.usnews.com//education/best-global-universities/engineering?page=4,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,79.3,#34
https://www.usnews.com//education/best-global-universities/engineering?page=4,#204 (tied) – Best Global Universities,"Sweden
Stockholm",Royal Institute of Technology,79.2,#35
https://www.usnews.com//education/best-global-universities/engineering?page=4,#380 (tied) – Best Global Universities,"China
Xi'an, Shaanxi",Xi'an Jiaotong University,78.9,#36
https://www.usnews.com//education/best-global-universities/engineering?page=4,#466 (tied) – Best Global Universities,"China
Tianjin",Tianjin University,78.4,#37
https://www.usnews.com//education/best-global-universities/engineering?page=4,#497 (tied) – Best Global Universities,"Iran
Karaj",Islamic Azad University Karaj,78.1,#38
