url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/environment-ecology,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,100.0,#1
https://www.usnews.com//education/best-global-universities/environment-ecology,#88 (tied) – Best Global Universities,"Netherlands
Wageningen",Wageningen University and Research Center,94.5,#2
https://www.usnews.com//education/best-global-universities/environment-ecology,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,94.2,#3
https://www.usnews.com//education/best-global-universities/environment-ecology,#25  – Best Global Universities,"Switzerland
Zurich",Swiss Federal Institute of Technology Zurich,93.4,#4
https://www.usnews.com//education/best-global-universities/environment-ecology,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,92.4,#5
https://www.usnews.com//education/best-global-universities/environment-ecology,#21  – Best Global Universities,"United States
Durham, NC",Duke University,91.2,#6
https://www.usnews.com//education/best-global-universities/environment-ecology,#52 (tied) – Best Global Universities,"United States
Davis, CA",University of California--Davis,90.2,#7
https://www.usnews.com//education/best-global-universities/environment-ecology,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,90.0,#8Tie
https://www.usnews.com//education/best-global-universities/environment-ecology,#45  – Best Global Universities,"Australia
Brisbane, Queensland",University of Queensland Australia,90.0,#8Tie
https://www.usnews.com//education/best-global-universities/environment-ecology,#27  – Best Global Universities,"Canada
Vancouver, British Columbia",University of British Columbia,88.6,#10
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,86.8,#11
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#10 (tied) – Best Global Universities,"United States
New Haven, CT",Yale University,86.7,#12
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#42  – Best Global Universities,"United States
Minneapolis, MN",University of Minnesota--Twin Cities,86.2,#13
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#28 (tied) – Best Global Universities,"United States
Santa Barbara, CA",University of California--Santa Barbara,86.1,#14
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#253 (tied) – Best Global Universities,"Australia
Townsville City, Queensland",James Cook University,85.8,#15Tie
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,85.8,#15Tie
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#129 (tied) – Best Global Universities,"Sweden
Stockholm",Stockholm University,85.2,#17
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#37  – Best Global Universities,"Denmark
Copenhagen",University of Copenhagen,84.3,#18
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,83.4,#19
https://www.usnews.com//education/best-global-universities/environment-ecology?page=2,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,83.3,#20
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#23  – Best Global Universities,"United States
Ithaca, NY",Cornell University,79.8,#31
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#85 (tied) – Best Global Universities,"Sweden
Lund",Lund University,79.2,#32
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,78.7,#33
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,78.2,#34
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#69 (tied) – Best Global Universities,"Australia
Canberra, Australian Capital Territory",Australian National University,77.7,#35
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#239 (tied) – Best Global Universities,"United States
Corvallis, OR",Oregon State University,77.6,#36
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#49  – Best Global Universities,"Canada
Montréal, Québec",McGill University,77.2,#37
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#77 (tied) – Best Global Universities,"United States
Tucson, AZ",University of Arizona,77.1,#38
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#81 (tied) – Best Global Universities,"Finland
Helsinki",University of Helsinki,77.0,#39
https://www.usnews.com//education/best-global-universities/environment-ecology?page=4,#88 (tied) – Best Global Universities,"Australia
Crawley, Western Australia",University of Western Australia,76.9,#40
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#57 (tied) – Best Global Universities,"Netherlands
Utrecht",Utrecht University,76.7,#41
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#134 (tied) – Best Global Universities,"United Kingdom
Leeds",University of Leeds,76.5,#42
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#69 (tied) – Best Global Universities,"Australia
Kensington, New South Wales",University of New South Wales,75.8,#43
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#65  – Best Global Universities,"China
Beijing",Peking University,75.5,#44Tie
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#59 (tied) – Best Global Universities,"Switzerland
Zürich",University of Zurich,75.5,#44Tie
https://www.usnews.com//education/best-global-universities/environment-ecology?page=5,#85 (tied) – Best Global Universities,"Netherlands
Amsterdam",VU University Amsterdam,75.5,#44Tie
