url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/geosciences,#6  – Best Global Universities,"United States
Pasadena, CA",California Institute of Technology,100.0,#1
https://www.usnews.com//education/best-global-universities/geosciences,#44  – Best Global Universities,"United States
Boulder, CO",University of Colorado--Boulder,98.5,#2
https://www.usnews.com//education/best-global-universities/geosciences,#25  – Best Global Universities,"Switzerland
Zurich",Swiss Federal Institute of Technology Zurich,96.4,#3
https://www.usnews.com//education/best-global-universities/geosciences,#8  – Best Global Universities,"United States
New York, NY",Columbia University,95.4,#4
https://www.usnews.com//education/best-global-universities/geosciences,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,93.0,#5
https://www.usnews.com//education/best-global-universities/geosciences,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,92.0,#6
https://www.usnews.com//education/best-global-universities/geosciences,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,89.5,#7
https://www.usnews.com//education/best-global-universities/geosciences,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,87.1,#8
https://www.usnews.com//education/best-global-universities/geosciences,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,86.9,#9
https://www.usnews.com//education/best-global-universities/geosciences,#57 (tied) – Best Global Universities,"Netherlands
Utrecht",Utrecht University,86.7,#10
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,85.4,#11
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#50  – Best Global Universities,"United States
College Park, MD",University of Maryland--College Park,85.1,#12
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,84.0,#13
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#38  – Best Global Universities,"France
Paris",Pierre and Marie Curie University,83.9,#14
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#73 (tied) – Best Global Universities,"United Kingdom
Bristol",University of Bristol,83.5,#15
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,81.8,#16
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#397 (tied) – Best Global Universities,"China
Wuhan, Hubei",China University of Geosciences,81.7,#17
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#134 (tied) – Best Global Universities,"United Kingdom
Leeds",University of Leeds,81.6,#18
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,81.4,#19
https://www.usnews.com//education/best-global-universities/geosciences?page=2,#65  – Best Global Universities,"China
Beijing",Peking University,81.2,#20
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,78.1,#21
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,77.9,#22
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#385 (tied) – Best Global Universities,"France
Versailles",Versailles Saint-Quentin-en-Yvelines University (UVSQ),77.5,#23
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#57 (tied) – Best Global Universities,"Japan
Bunkyo-ku, Tokyo",University of Tokyo,76.9,#24
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#75 (tied) – Best Global Universities,"United States
Irvine, CA",University of California--Irvine,76.6,#25
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#69 (tied) – Best Global Universities,"Australia
Canberra, Australian Capital Territory",Australian National University,76.2,#26
https://www.usnews.com//education/best-global-universities/geosciences?page=3,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,76.1,#27Tie
