url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,78.6,#21
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#152  – Best Global Universities,Hong Kong,Hong Kong University of Science and Technology,78.5,#22
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#51  – Best Global Universities,"United States
Champaign, IL",University of Illinois--Urbana-Champaign,76.8,#23
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,76.5,#24
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,75.9,#25
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#296 (tied) – Best Global Universities,"South Korea
Pohang, Gyeongbuk",Pohang University of Science and Technology,75.8,#26
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#204 (tied) – Best Global Universities,"Japan
Aoba-ku, Sendai, Miyagi",Tohoku University,75.3,#27
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#186  – Best Global Universities,"Hong Kong
Kowloon, Hong Kong",City University Hong Kong,73.6,#28
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#81 (tied) – Best Global Universities,"United States
Houston, TX",Rice University,72.9,#29
https://www.usnews.com//education/best-global-universities/materials-science?page=3,#304 (tied) – Best Global Universities,"China
Harbin, Heilongjiang",Harbin Institute of Technology,72.8,#30
https://www.usnews.com//education/best-global-universities/materials-science?page=4,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,72.5,#31
https://www.usnews.com//education/best-global-universities/materials-science?page=4,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,72.4,#32
https://www.usnews.com//education/best-global-universities/materials-science?page=4,#14  – Best Global Universities,"United States
Chicago, IL",University of Chicago,72.2,#33
