url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/mathematics,#38  – Best Global Universities,"France
Paris",Pierre and Marie Curie University,100.0,#1
https://www.usnews.com//education/best-global-universities/mathematics,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,98.9,#2
https://www.usnews.com//education/best-global-universities/mathematics,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,96.7,#3
https://www.usnews.com//education/best-global-universities/mathematics,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,96.6,#4
https://www.usnews.com//education/best-global-universities/mathematics,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,92.5,#5
https://www.usnews.com//education/best-global-universities/mathematics,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,91.7,#6
https://www.usnews.com//education/best-global-universities/mathematics,#28 (tied) – Best Global Universities,"United States
New York, NY",New York University,88.9,#7
https://www.usnews.com//education/best-global-universities/mathematics,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,88.1,#8
https://www.usnews.com//education/best-global-universities/mathematics,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,85.4,#9
https://www.usnews.com//education/best-global-universities/mathematics,#25  – Best Global Universities,"Switzerland
Zurich",Swiss Federal Institute of Technology Zurich,85.1,#10Tie
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#14  – Best Global Universities,"United States
Chicago, IL",University of Chicago,85.1,#10Tie
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#8  – Best Global Universities,"United States
New York, NY",Columbia University,84.6,#12
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,83.1,#13
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,82.5,#14
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#42  – Best Global Universities,"United States
Minneapolis, MN",University of Minnesota--Twin Cities,81.1,#15
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#118  – Best Global Universities,"United States
College Station, TX",Texas A&M University--College Station,80.6,#16
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,79.9,#17
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,79.8,#18
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#65  – Best Global Universities,"China
Beijing",Peking University,76.9,#19Tie
https://www.usnews.com//education/best-global-universities/mathematics?page=2,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,76.9,#19Tie
https://www.usnews.com//education/best-global-universities/mathematics?page=4,#148 (tied) – Best Global Universities,"China
Shanghai",Fudan University,72.9,#31
https://www.usnews.com//education/best-global-universities/mathematics?page=4,#93  – Best Global Universities,"France
Orsay",Université Paris-Sud,72.8,#32Tie
