url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,100.0,#1
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,95.8,#2
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,81.7,#3
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,80.6,#4
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#15  – Best Global Universities,"United States
San Francisco, CA",University of California--San Francisco,80.0,#5
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,77.4,#6
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,75.4,#7
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#10 (tied) – Best Global Universities,"United States
Baltimore, MD",Johns Hopkins University,74.9,#8
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#10 (tied) – Best Global Universities,"United States
New Haven, CT",Yale University,73.3,#9
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,72.4,#10
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#37  – Best Global Universities,"Denmark
Copenhagen",University of Copenhagen,68.6,#21
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,68.4,#22
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,67.0,#23
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#126 (tied) – Best Global Universities,"United States
Houston, TX",Baylor College of Medicine,66.3,#24
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#30  – Best Global Universities,"United Kingdom
Edinburgh, Scotland",University of Edinburgh,66.0,#25
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#40  – Best Global Universities,"Germany
Munich",University of Munich,65.6,#26
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#34 (tied) – Best Global Universities,"United States
Chapel Hill, NC",University of North Carolina--Chapel Hill,65.3,#27
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#41  – Best Global Universities,"United Kingdom
London",King's College London,65.0,#28
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#38  – Best Global Universities,"France
Paris",Pierre and Marie Curie University,64.4,#29
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=3,#73 (tied) – Best Global Universities,"Netherlands
Rotterdam",Erasmus University Rotterdam,62.2,#30
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=4,#21  – Best Global Universities,"United States
Durham, NC",Duke University,62.0,#31
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=4,#79  – Best Global Universities,"Netherlands
Leiden",Leiden University,61.9,#32
https://www.usnews.com//education/best-global-universities/molecular-biology-genetics?page=4,#121  – Best Global Universities,"United States
Dallas, TX",University of Texas Southwestern Medical Center--Dallas,61.8,#33
