url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,71.5,#21
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#85 (tied) – Best Global Universities,"Netherlands
Amsterdam",VU University Amsterdam,69.9,#22
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,69.8,#23
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#38  – Best Global Universities,"France
Paris",Pierre and Marie Curie University,69.6,#24
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#40  – Best Global Universities,"Germany
Munich",University of Munich,69.5,#25
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#21  – Best Global Universities,"United States
Durham, NC",Duke University,69.3,#26
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#48  – Best Global Universities,"United States
Pittsburgh, PA",University of Pittsburgh,68.7,#27
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#59 (tied) – Best Global Universities,"Germany
Heidelberg",Heidelberg University,68.5,#28
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#30  – Best Global Universities,"United Kingdom
Edinburgh, Scotland",University of Edinburgh,67.9,#29
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=3,#59 (tied) – Best Global Universities,"Switzerland
Zürich",University of Zurich,67.6,#30
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=4,#101  – Best Global Universities,"Netherlands
Nijmegen",Radboud University Nijmegen,66.8,#31Tie
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=4,#26  – Best Global Universities,"Australia
Parkville, Victoria",University of Melbourne,66.8,#31Tie
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=4,#155  – Best Global Universities,"Germany
Tübingen","Eberhard Karls University, Tübingen",66.2,#33
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=4,#27  – Best Global Universities,"Canada
Vancouver, British Columbia",University of British Columbia,65.7,#34
https://www.usnews.com//education/best-global-universities/neuroscience-behavior?page=4,#81 (tied) – Best Global Universities,"Spain
Barcelona",University of Barcelona,65.3,#35
