url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,100.0,#1
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#41  – Best Global Universities,"United Kingdom
London",King's College London,94.3,#2
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#3  – Best Global Universities,"United States
Stanford, CA",Stanford University,88.7,#3
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#10 (tied) – Best Global Universities,"United States
New Haven, CT",Yale University,87.7,#4
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#8  – Best Global Universities,"United States
New York, NY",Columbia University,87.1,#5
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,85.5,#6
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#22  – Best Global Universities,"United Kingdom
London",University College London,82.4,#7
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,81.3,#8
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#20  – Best Global Universities,"Canada
Toronto, Ontario",University of Toronto,80.3,#9
https://www.usnews.com//education/best-global-universities/psychiatry-psychology,#21  – Best Global Universities,"United States
Durham, NC",Duke University,80.1,#10
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#19  – Best Global Universities,"United States
Philadelphia, PA",University of Pennsylvania,79.8,#11
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,78.8,#12
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#16  – Best Global Universities,"United States
La Jolla, CA",University of California--San Diego,78.3,#13
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#48  – Best Global Universities,"United States
Pittsburgh, PA",University of Pittsburgh,77.3,#14
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#52 (tied) – Best Global Universities,"Sweden
Stockholm",Karolinska Institute,76.6,#15Tie
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,76.6,#15Tie
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#10 (tied) – Best Global Universities,"United States
Baltimore, MD",Johns Hopkins University,75.8,#17
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#28 (tied) – Best Global Universities,"United States
New York, NY",New York University,75.7,#18
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#26  – Best Global Universities,"Australia
Parkville, Victoria",University of Melbourne,74.4,#19
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=2,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,74.0,#20Tie
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#27  – Best Global Universities,"Canada
Vancouver, British Columbia",University of British Columbia,74.0,#20Tie
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#42  – Best Global Universities,"United States
Minneapolis, MN",University of Minnesota--Twin Cities,73.5,#22
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#34 (tied) – Best Global Universities,"United States
Chapel Hill, NC",University of North Carolina--Chapel Hill,73.4,#23
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#55 (tied) – Best Global Universities,"Netherlands
Amsterdam",University of Amsterdam,73.3,#24
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#32 (tied) – Best Global Universities,"United States
St. Louis, MO",Washington University in St. Louis,72.3,#25
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,72.0,#26
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#85 (tied) – Best Global Universities,"Netherlands
Amsterdam",VU University Amsterdam,71.9,#27
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#63  – Best Global Universities,"Belgium
Leuven",Catholic University of Leuven,71.5,#28
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#94  – Best Global Universities,"Netherlands
Groningen",University of Groningen,70.7,#29
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=3,#57 (tied) – Best Global Universities,"Netherlands
Utrecht",Utrecht University,69.9,#30
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=4,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,69.7,#31
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=4,#14  – Best Global Universities,"United States
Chicago, IL",University of Chicago,69.3,#32
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=4,#23  – Best Global Universities,"United States
Ithaca, NY",Cornell University,69.2,#33
https://www.usnews.com//education/best-global-universities/psychiatry-psychology?page=4,#69 (tied) – Best Global Universities,"Australia
Kensington, New South Wales",University of New South Wales,68.9,#34
