url,其他,地址,大学,得分,排名
https://www.usnews.com//education/best-global-universities/space-science,#6  – Best Global Universities,"United States
Pasadena, CA",California Institute of Technology,100.0,#1
https://www.usnews.com//education/best-global-universities/space-science,#1  – Best Global Universities,"United States
Cambridge, MA",Harvard University,97.4,#2
https://www.usnews.com//education/best-global-universities/space-science,#4  – Best Global Universities,"United States
Berkeley, CA",University of California--Berkeley,96.3,#3
https://www.usnews.com//education/best-global-universities/space-science,#7  – Best Global Universities,"United Kingdom
Cambridge",University of Cambridge,87.9,#4
https://www.usnews.com//education/best-global-universities/space-science,#47  – Best Global Universities,"United States
Santa Cruz, CA",University of California--Santa Cruz,87.1,#5
https://www.usnews.com//education/best-global-universities/space-science,#9  – Best Global Universities,"United States
Princeton, NJ",Princeton University,87.0,#6
https://www.usnews.com//education/best-global-universities/space-science,#20  – Best Global Universities,"Canada
Toronto, Ontario",University of Toronto,83.9,#7
https://www.usnews.com//education/best-global-universities/space-science,#5  – Best Global Universities,"United Kingdom
Oxford",University of Oxford,83.8,#8
https://www.usnews.com//education/best-global-universities/space-science,#38  – Best Global Universities,"France
Paris",Pierre and Marie Curie University,83.1,#9Tie
https://www.usnews.com//education/best-global-universities/space-science,#77 (tied) – Best Global Universities,"United States
Tucson, AZ",University of Arizona,83.1,#9Tie
https://www.usnews.com//education/best-global-universities/space-science?page=3,#32 (tied) – Best Global Universities,"United States
Austin, TX",University of Texas--Austin,74.6,#21
https://www.usnews.com//education/best-global-universities/space-science?page=3,#57 (tied) – Best Global Universities,"Japan
Bunkyo-ku, Tokyo",University of Tokyo,74.4,#22
https://www.usnews.com//education/best-global-universities/space-science?page=3,#22  – Best Global Universities,"United Kingdom
London",University College London,74.3,#23
https://www.usnews.com//education/best-global-universities/space-science?page=3,#66  – Best Global Universities,"United States
University Park, PA",Pennsylvania State University--University Park,74.2,#24
https://www.usnews.com//education/best-global-universities/space-science?page=3,#2  – Best Global Universities,"United States
Cambridge, MA",Massachusetts Institute of Technology,73.6,#25
https://www.usnews.com//education/best-global-universities/space-science?page=3,#173 (tied) – Best Global Universities,"United Kingdom
Durham, Durham",Durham University,73.1,#26Tie
https://www.usnews.com//education/best-global-universities/space-science?page=3,#59 (tied) – Best Global Universities,"Germany
Heidelberg",Heidelberg University,73.1,#26Tie
https://www.usnews.com//education/best-global-universities/space-science?page=3,#37  – Best Global Universities,"Denmark
Copenhagen",University of Copenhagen,73.0,#28
https://www.usnews.com//education/best-global-universities/space-science?page=3,#50  – Best Global Universities,"United States
College Park, MD",University of Maryland--College Park,71.0,#29
https://www.usnews.com//education/best-global-universities/space-science?page=3,#8  – Best Global Universities,"United States
New York, NY",Columbia University,70.4,#30Tie
https://www.usnews.com//education/best-global-universities/space-science?page=4,#17 (tied) – Best Global Universities,"United States
Ann Arbor, MI",University of Michigan--Ann Arbor,70.4,#30Tie
https://www.usnews.com//education/best-global-universities/space-science?page=4,#88 (tied) – Best Global Universities,"Switzerland
Geneva",University of Geneva,68.8,#32
https://www.usnews.com//education/best-global-universities/space-science?page=4,#69 (tied) – Best Global Universities,"Australia
Canberra, Australian Capital Territory",Australian National University,68.2,#33
https://www.usnews.com//education/best-global-universities/space-science?page=4,#13  – Best Global Universities,"United States
Los Angeles, CA",University of California--Los Angeles,67.8,#34Tie
https://www.usnews.com//education/best-global-universities/space-science?page=4,#59 (tied) – Best Global Universities,"United Kingdom
Manchester",University of Manchester,67.8,#34Tie
https://www.usnews.com//education/best-global-universities/space-science?page=4,#100  – Best Global Universities,"France
Paris",University Paris Diderot - Paris 7,67.8,#34Tie
https://www.usnews.com//education/best-global-universities/space-science?page=4,#159 (tied) – Best Global Universities,"France
Marseille",University of Aix-Marseille,67.6,#37
https://www.usnews.com//education/best-global-universities/space-science?page=4,#40  – Best Global Universities,"Germany
Munich",University of Munich,67.3,#38
https://www.usnews.com//education/best-global-universities/space-science?page=4,#17 (tied) – Best Global Universities,"United Kingdom
London",Imperial College London,67.2,#39
https://www.usnews.com//education/best-global-universities/space-science?page=4,#10 (tied) – Best Global Universities,"United States
Seattle, WA",University of Washington,66.6,#40
https://www.usnews.com//education/best-global-universities/space-science?page=6,#44  – Best Global Universities,"United States
Boulder, CO",University of Colorado--Boulder,62.6,#51
https://www.usnews.com//education/best-global-universities/space-science?page=6,#282 (tied) – Best Global Universities,"Italy
Trieste",International School for Advanced Studies,61.5,#52Tie
https://www.usnews.com//education/best-global-universities/space-science?page=6,#274 (tied) – Best Global Universities,"Italy
Rome",University of Rome Tor Vergata,61.5,#52Tie
https://www.usnews.com//education/best-global-universities/space-science?page=6,#52 (tied) – Best Global Universities,"United States
Davis, CA",University of California--Davis,61.3,#54
https://www.usnews.com//education/best-global-universities/space-science?page=6,#31  – Best Global Universities,"United States
Madison, WI",University of Wisconsin--Madison,61.0,#55
https://www.usnews.com//education/best-global-universities/space-science?page=6,#129 (tied) – Best Global Universities,"Sweden
Stockholm",Stockholm University,60.7,#56Tie
https://www.usnews.com//education/best-global-universities/space-science?page=6,#104 (tied) – Best Global Universities,"Germany
Bonn",University of Bonn,60.7,#56Tie
https://www.usnews.com//education/best-global-universities/space-science?page=6,#101  – Best Global Universities,"Netherlands
Nijmegen",Radboud University Nijmegen,60.5,#58
https://www.usnews.com//education/best-global-universities/space-science?page=6,#28 (tied) – Best Global Universities,"United States
New York, NY",New York University,59.9,#59
https://www.usnews.com//education/best-global-universities/space-science?page=6,#422 (tied) – Best Global Universities,"Australia
Hawthorn, Victoria",Swinburne University of Technology,59.6,#60
https://www.usnews.com//education/best-global-universities/space-science?page=7,#55 (tied) – Best Global Universities,"Netherlands
Amsterdam",University of Amsterdam,59.5,#61
https://www.usnews.com//education/best-global-universities/space-science?page=7,#75 (tied) – Best Global Universities,"United States
Irvine, CA",University of California--Irvine,59.3,#62
https://www.usnews.com//education/best-global-universities/space-science?page=7,#589  – Best Global Universities,"United Kingdom
Portsmouth",University of Portsmouth,59.2,#63
https://www.usnews.com//education/best-global-universities/space-science?page=7,#124 (tied) – Best Global Universities,"Italy
Rome",Sapienza University of Rome,58.4,#64
https://www.usnews.com//education/best-global-universities/space-science?page=7,#23  – Best Global Universities,"United States
Ithaca, NY",Cornell University,58.2,#65
https://www.usnews.com//education/best-global-universities/space-science?page=7,#126 (tied) – Best Global Universities,"United States
Amherst, MA",University of Massachusetts--Amherst,58.1,#66Tie
https://www.usnews.com//education/best-global-universities/space-science?page=7,#158  – Best Global Universities,"Italy
Milan",University of Milan,58.1,#66Tie
https://www.usnews.com//education/best-global-universities/space-science?page=7,#77 (tied) – Best Global Universities,"United States
Pittsburgh, PA",Carnegie Mellon University,57.9,#68
https://www.usnews.com//education/best-global-universities/space-science?page=7,#94  – Best Global Universities,"Netherlands
Groningen",University of Groningen,57.2,#69
https://www.usnews.com//education/best-global-universities/space-science?page=7,#607 (tied) – Best Global Universities,"United Kingdom
Hatfield, Hertfordshire",University of Hertfordshire,57.0,#70
https://www.usnews.com//education/best-global-universities/space-science?page=8,#315  – Best Global Universities,"Chile
Santiago",Pontificia University Católica de Chile,56.7,#71
https://www.usnews.com//education/best-global-universities/space-science?page=8,#742 (tied) – Best Global Universities,"Spain
La Laguna",University of La Laguna,56.4,#72
